"STATISTIC Label","Year","Sex","Nationality","UNIT","VALUE"
"Estimated Emigration (Persons in April)","2006","Both sexes","Irish","Thousand","15.3"
"Estimated Emigration (Persons in April)","2006","Both sexes","UK (1)","Thousand","2.2"
"Estimated Emigration (Persons in April)","2006","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.1"
"Estimated Emigration (Persons in April)","2006","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.2"
"Estimated Emigration (Persons in April)","2006","Both sexes","Other nationalities(17)","Thousand","6.2"
"Estimated Emigration (Persons in April)","2006","Both sexes","All nationalities","Thousand","36"
"Estimated Emigration (Persons in April)","2006","Male","Irish","Thousand","8"
"Estimated Emigration (Persons in April)","2006","Male","UK (1)","Thousand","1.6"
"Estimated Emigration (Persons in April)","2006","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.5"
"Estimated Emigration (Persons in April)","2006","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.7"
"Estimated Emigration (Persons in April)","2006","Male","Other nationalities(17)","Thousand","2.8"
"Estimated Emigration (Persons in April)","2006","Male","All nationalities","Thousand","18.7"
"Estimated Emigration (Persons in April)","2006","Female","Irish","Thousand","7.3"
"Estimated Emigration (Persons in April)","2006","Female","UK (1)","Thousand","0.6"
"Estimated Emigration (Persons in April)","2006","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.6"
"Estimated Emigration (Persons in April)","2006","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.4"
"Estimated Emigration (Persons in April)","2006","Female","Other nationalities(17)","Thousand","3.4"
"Estimated Emigration (Persons in April)","2006","Female","All nationalities","Thousand","17.3"
"Estimated Emigration (Persons in April)","2007","Both sexes","Irish","Thousand","12.9"
"Estimated Emigration (Persons in April)","2007","Both sexes","UK (1)","Thousand","3.7"
"Estimated Emigration (Persons in April)","2007","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.9"
"Estimated Emigration (Persons in April)","2007","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.6"
"Estimated Emigration (Persons in April)","2007","Both sexes","Other nationalities(17)","Thousand","8.2"
"Estimated Emigration (Persons in April)","2007","Both sexes","All nationalities","Thousand","46.3"
"Estimated Emigration (Persons in April)","2007","Male","Irish","Thousand","6.1"
"Estimated Emigration (Persons in April)","2007","Male","UK (1)","Thousand","2.3"
"Estimated Emigration (Persons in April)","2007","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.3"
"Estimated Emigration (Persons in April)","2007","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","8.4"
"Estimated Emigration (Persons in April)","2007","Male","Other nationalities(17)","Thousand","4.6"
"Estimated Emigration (Persons in April)","2007","Male","All nationalities","Thousand","25.7"
"Estimated Emigration (Persons in April)","2007","Female","Irish","Thousand","6.8"
"Estimated Emigration (Persons in April)","2007","Female","UK (1)","Thousand","1.4"
"Estimated Emigration (Persons in April)","2007","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.6"
"Estimated Emigration (Persons in April)","2007","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.3"
"Estimated Emigration (Persons in April)","2007","Female","Other nationalities(17)","Thousand","3.6"
"Estimated Emigration (Persons in April)","2007","Female","All nationalities","Thousand","20.6"
"Estimated Emigration (Persons in April)","2008","Both sexes","Irish","Thousand","13.1"
"Estimated Emigration (Persons in April)","2008","Both sexes","UK (1)","Thousand","3.7"
"Estimated Emigration (Persons in April)","2008","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6"
"Estimated Emigration (Persons in April)","2008","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","17.2"
"Estimated Emigration (Persons in April)","2008","Both sexes","Other nationalities(17)","Thousand","9"
"Estimated Emigration (Persons in April)","2008","Both sexes","All nationalities","Thousand","49.2"
"Estimated Emigration (Persons in April)","2008","Male","Irish","Thousand","7.1"
"Estimated Emigration (Persons in April)","2008","Male","UK (1)","Thousand","2.5"
"Estimated Emigration (Persons in April)","2008","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2"
"Estimated Emigration (Persons in April)","2008","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.4"
"Estimated Emigration (Persons in April)","2008","Male","Other nationalities(17)","Thousand","5.5"
"Estimated Emigration (Persons in April)","2008","Male","All nationalities","Thousand","29.6"
"Estimated Emigration (Persons in April)","2008","Female","Irish","Thousand","6"
"Estimated Emigration (Persons in April)","2008","Female","UK (1)","Thousand","1.3"
"Estimated Emigration (Persons in April)","2008","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4"
"Estimated Emigration (Persons in April)","2008","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.8"
"Estimated Emigration (Persons in April)","2008","Female","Other nationalities(17)","Thousand","3.5"
"Estimated Emigration (Persons in April)","2008","Female","All nationalities","Thousand","19.6"
"Estimated Emigration (Persons in April)","2009","Both sexes","Irish","Thousand","19.2"
"Estimated Emigration (Persons in April)","2009","Both sexes","UK (1)","Thousand","3.9"
"Estimated Emigration (Persons in April)","2009","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.4"
"Estimated Emigration (Persons in April)","2009","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","30.5"
