"STATISTIC Label","Year","Sex","Education Level","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Higher secondary and below","Net migration","Thousand","-9.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","31.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","21.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Post leaving cert","Net migration","Thousand","-0.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","6.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","6.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Third level","Net migration","Thousand","8.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Third level","Emigrants: All destinations","Thousand","24.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Third level","Immigrants: All origins","Thousand","32.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Not stated","Net migration","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Not stated","Emigrants: All destinations","Thousand","7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","Not stated","Immigrants: All origins","Thousand","8.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","All persons","Net migration","Thousand","-0.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","All persons","Emigrants: All destinations","Thousand","69.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Both sexes","All persons","Immigrants: All origins","Thousand","69.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Higher secondary and below","Net migration","Thousand","-6.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Higher secondary and below","Emigrants: All destinations","Thousand","18.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Higher secondary and below","Immigrants: All origins","Thousand","11.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Post leaving cert","Net migration","Thousand","-2.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Post leaving cert","Emigrants: All destinations","Thousand","5.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Post leaving cert","Immigrants: All origins","Thousand","2.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Third level","Net migration","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Third level","Emigrants: All destinations","Thousand","13.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Third level","Immigrants: All origins","Thousand","16.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Not stated","Net migration","Thousand","0.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Not stated","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","Not stated","Immigrants: All origins","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","All persons","Net migration","Thousand","-6.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","All persons","Emigrants: All destinations","Thousand","40.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Male","All persons","Immigrants: All origins","Thousand","34.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Higher secondary and below","Net migration","Thousand","-2.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Higher secondary and below","Emigrants: All destinations","Thousand","13"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Higher secondary and below","Immigrants: All origins","Thousand","10.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Post leaving cert","Net migration","Thousand","2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Post leaving cert","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Post leaving cert","Immigrants: All origins","Thousand","3.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Third level","Net migration","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Third level","Emigrants: All destinations","Thousand","10.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Third level","Immigrants: All origins","Thousand","16.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Not stated","Net migration","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Not stated","Emigrants: All destinations","Thousand","3.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","Not stated","Immigrants: All origins","Thousand","4.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","All persons","Net migration","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","All persons","Emigrants: All destinations","Thousand","28.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2009","Female","All persons","Immigrants: All origins","Thousand","34.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Higher secondary and below","Net migration","Thousand","-11.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","26.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","15.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Post leaving cert","Net migration","Thousand","-4.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","7.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Third level","Net migration","Thousand","-8.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Third level","Emigrants: All destinations","Thousand","27.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Third level","Immigrants: All origins","Thousand","19.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Not stated","Net migration","Thousand","-2.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Not stated","Emigrants: All destinations","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","Not stated","Immigrants: All origins","Thousand","2.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","All persons","Net migration","Thousand","-27.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","All persons","Emigrants: All destinations","Thousand","67.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Both sexes","All persons","Immigrants: All origins","Thousand","39.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Higher secondary and below","Net migration","Thousand","-8.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Higher secondary and below","Emigrants: All destinations","Thousand","15.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Higher secondary and below","Immigrants: All origins","Thousand","7.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Post leaving cert","Net migration","Thousand","-3.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Post leaving cert","Emigrants: All destinations","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Post leaving cert","Immigrants: All origins","Thousand","1.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Third level","Net migration","Thousand","-6.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Third level","Emigrants: All destinations","Thousand","14.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Third level","Immigrants: All origins","Thousand","8.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Not stated","Net migration","Thousand","-2.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Not stated","Emigrants: All destinations","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","Not stated","Immigrants: All origins","Thousand","1.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","All persons","Net migration","Thousand","-20.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","All persons","Emigrants: All destinations","Thousand","39.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Male","All persons","Immigrants: All origins","Thousand","19"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Higher secondary and below","Net migration","Thousand","-3.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Higher secondary and below","Emigrants: All destinations","Thousand","11.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Higher secondary and below","Immigrants: All origins","Thousand","7.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Post leaving cert","Net migration","Thousand","-0.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Post leaving cert","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Post leaving cert","Immigrants: All origins","Thousand","0.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Third level","Net migration","Thousand","-2.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Third level","Emigrants: All destinations","Thousand","13.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Third level","Immigrants: All origins","Thousand","11.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Not stated","Net migration","Thousand","-0.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Not stated","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","Not stated","Immigrants: All origins","Thousand","1.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","All persons","Net migration","Thousand","-6.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","All persons","Emigrants: All destinations","Thousand","27.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2010","Female","All persons","Immigrants: All origins","Thousand","21"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Higher secondary and below","Net migration","Thousand","-12.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","30.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","17.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Post leaving cert","Net migration","Thousand","-0.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","6.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","5.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Third level","Net migration","Thousand","-13.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Third level","Emigrants: All destinations","Thousand","35.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Third level","Immigrants: All origins","Thousand","22.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Not stated","Net migration","Thousand","-1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Not stated","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","Not stated","Immigrants: All origins","Thousand","2.1"
