"STATISTIC Label","Year","Principal Economic Status","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Both sexes","Net migration","Thousand","-0.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Both sexes","Emigrants: All destinations","Thousand","69.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Both sexes","Immigrants: All origins","Thousand","69.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Male","Net migration","Thousand","-6.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Male","Emigrants: All destinations","Thousand","40.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Male","Immigrants: All origins","Thousand","34.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Female","Net migration","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Female","Emigrants: All destinations","Thousand","28.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All persons","Female","Immigrants: All origins","Thousand","34.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Both sexes","Net migration","Thousand","-7.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Both sexes","Emigrants: All destinations","Thousand","41.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Both sexes","Immigrants: All origins","Thousand","33.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Male","Net migration","Thousand","-6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Male","Emigrants: All destinations","Thousand","25.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Male","Immigrants: All origins","Thousand","18.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Female","Net migration","Thousand","-0.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Female","Emigrants: All destinations","Thousand","15.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Persons at work","Female","Immigrants: All origins","Thousand","14.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Both sexes","Net migration","Thousand","4.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","10.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","15.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Male","Net migration","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Male","Emigrants: All destinations","Thousand","7.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Male","Immigrants: All origins","Thousand","9.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Female","Net migration","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Female","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","All unemployed persons","Female","Immigrants: All origins","Thousand","5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Both sexes","Net migration","Thousand","-2.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","12.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Both sexes","Immigrants: All origins","Thousand","9.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Male","Net migration","Thousand","-2.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Male","Emigrants: All destinations","Thousand","6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Male","Immigrants: All origins","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Female","Net migration","Thousand","-0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Female","Emigrants: All destinations","Thousand","6.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Student or pupil","Female","Immigrants: All origins","Thousand","5.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Both sexes","Net migration","Thousand","5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Both sexes","Emigrants: All destinations","Thousand","5.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Both sexes","Immigrants: All origins","Thousand","10.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Male","Net migration","Thousand","0.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Male","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Male","Immigrants: All origins","Thousand","2.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Female","Net migration","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Female","Emigrants: All destinations","Thousand","3.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2009","Other economic status","Female","Immigrants: All origins","Thousand","8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Both sexes","Net migration","Thousand","-27.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Both sexes","Emigrants: All destinations","Thousand","67.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Both sexes","Immigrants: All origins","Thousand","39.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Male","Net migration","Thousand","-20.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Male","Emigrants: All destinations","Thousand","39.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Male","Immigrants: All origins","Thousand","19"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Female","Net migration","Thousand","-6.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Female","Emigrants: All destinations","Thousand","27.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All persons","Female","Immigrants: All origins","Thousand","21"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Both sexes","Net migration","Thousand","-12.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Both sexes","Emigrants: All destinations","Thousand","31.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Both sexes","Immigrants: All origins","Thousand","18.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Male","Net migration","Thousand","-8.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Male","Emigrants: All destinations","Thousand","18.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Male","Immigrants: All origins","Thousand","9.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Female","Net migration","Thousand","-4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Female","Emigrants: All destinations","Thousand","12.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Persons at work","Female","Immigrants: All origins","Thousand","8.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Both sexes","Net migration","Thousand","-7.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","16.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","8.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Male","Net migration","Thousand","-8.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Male","Emigrants: All destinations","Thousand","13.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Male","Immigrants: All origins","Thousand","4.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Female","Net migration","Thousand","0.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Female","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","All unemployed persons","Female","Immigrants: All origins","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Both sexes","Net migration","Thousand","-8.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","14.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Both sexes","Immigrants: All origins","Thousand","6.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Male","Net migration","Thousand","-4.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Male","Emigrants: All destinations","Thousand","6.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Male","Immigrants: All origins","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Female","Net migration","Thousand","-3.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Female","Emigrants: All destinations","Thousand","7.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Student or pupil","Female","Immigrants: All origins","Thousand","3.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Both sexes","Net migration","Thousand","1.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Both sexes","Emigrants: All destinations","Thousand","5.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Both sexes","Immigrants: All origins","Thousand","7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Male","Net migration","Thousand","0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Male","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Male","Immigrants: All origins","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Female","Net migration","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Female","Emigrants: All destinations","Thousand","4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2010","Other economic status","Female","Immigrants: All origins","Thousand","5.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Both sexes","Net migration","Thousand","-28.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Both sexes","Emigrants: All destinations","Thousand","75.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Both sexes","Immigrants: All origins","Thousand","47.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Male","Net migration","Thousand","-16.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Male","Emigrants: All destinations","Thousand","39.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Male","Immigrants: All origins","Thousand","22.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Female","Net migration","Thousand","-11.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Female","Emigrants: All destinations","Thousand","36"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All persons","Female","Immigrants: All origins","Thousand","24.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Both sexes","Net migration","Thousand","-13"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Both sexes","Emigrants: All destinations","Thousand","36.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Both sexes","Immigrants: All origins","Thousand","23.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Male","Net migration","Thousand","-6.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Male","Emigrants: All destinations","Thousand","18.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Male","Immigrants: All origins","Thousand","11.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Female","Net migration","Thousand","-6.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Female","Emigrants: All destinations","Thousand","17.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Persons at work","Female","Immigrants: All origins","Thousand","11.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Both sexes","Net migration","Thousand","-5.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","15.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","9.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Male","Net migration","Thousand","-5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Male","Emigrants: All destinations","Thousand","10.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Male","Immigrants: All origins","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Female","Net migration","Thousand","0.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Female","Emigrants: All destinations","Thousand","4.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","All unemployed persons","Female","Immigrants: All origins","Thousand","4.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Both sexes","Net migration","Thousand","-8.6"
